card_id,option_order,semantic,label,presented_text,interaction_ids
card_excursion_garden_week_001,0,Direct,허가,정원에 갈 수 있게 한다.,
card_excursion_garden_week_001,1,Blocked,통제,정원에 가지 못하게 한다.,
card_excursion_garden_week_002,0,Direct,허가,정원에 갈 수 있게 한다.,
card_excursion_garden_week_002,1,Blocked,통제,정원에 가지 못하게 한다.,
card_excursion_garden_week_003,0,Direct,허가,정원에 갈 수 있게 한다.,
card_excursion_garden_week_003,1,Blocked,통제,정원에 가지 못하게 한다.,
card_excursion_garden_week_004,0,Direct,허가,정원에 갈 수 있게 한다.,
card_excursion_garden_week_004,1,Blocked,통제,정원에 가지 못하게 한다.,
card_excursion_garden_week_005,0,Direct,허가,정원에 갈 수 있게 한다.,
card_excursion_garden_week_005,1,Blocked,통제,정원에 가지 못하게 한다.,
card_excursion_garden_week_006,0,Direct,허가,정원에 갈 수 있게 한다.,
card_excursion_garden_week_006,1,Blocked,통제,정원에 가지 못하게 한다.,
card_excursion_garden_week_007,0,Direct,허가,정원에 갈 수 있게 한다.,
card_excursion_garden_week_007,1,Blocked,통제,정원에 가지 못하게 한다.,
card_excursion_garden_week_008,0,Direct,허가,정원에 갈 수 있게 한다.,
card_excursion_garden_week_008,1,Blocked,통제,정원에 가지 못하게 한다.,
card_excursion_garden_week_009,0,Direct,허가,정원에 갈 수 있게 한다.,
card_excursion_garden_week_009,1,Blocked,통제,정원에 가지 못하게 한다.,
card_excursion_basement_week_001,0,Direct,허가,지하실에 갈 수 있게 한다.,
card_excursion_basement_week_001,1,Blocked,통제,지하실에 가지 못하게 한다.,
card_excursion_basement_week_002,0,Direct,허가,지하실에 갈 수 있게 한다.,
card_excursion_basement_week_002,1,Blocked,통제,지하실에 가지 못하게 한다.,
card_excursion_basement_week_003,0,Direct,허가,지하실에 갈 수 있게 한다.,
card_excursion_basement_week_003,1,Blocked,통제,지하실에 가지 못하게 한다.,
card_excursion_basement_week_004,0,Direct,허가,지하실에 갈 수 있게 한다.,
card_excursion_basement_week_004,1,Blocked,통제,지하실에 가지 못하게 한다.,
card_excursion_basement_week_005,0,Direct,허가,지하실에 갈 수 있게 한다.,
card_excursion_basement_week_005,1,Blocked,통제,지하실에 가지 못하게 한다.,
