sequence_id,order,command,target_key,value1,value2,value3,duration,ease,blocking
sequence_garden_default_gardener,0,ShowBackground,,Garden,,,,,
sequence_garden_default_gardener,1,ShowCharacter,left,Gardener,,,,,
sequence_garden_default_gardener,2,ShowCharacter,right,Nemo,,,,,
sequence_garden_default_maid,0,ShowBackground,,Garden,,,,,
sequence_garden_default_maid,1,ShowCharacter,left,Maid,,,,,
sequence_garden_default_maid,2,ShowCharacter,right,Nemo,,,,,
sequence_basement_default,0,ShowBackground,,Basement,,,,,
sequence_basement_default,1,ShowCharacter,left,Maid,,,,,
sequence_basement_default,2,ShowCharacter,right,Nemo,,,,,
sequence_forest_default_gardener,0,ShowBackground,,Lake,,,,,
sequence_forest_default_gardener,1,ShowCharacter,left,GuardCaptain,,,,,
sequence_forest_default_gardener,2,ShowCharacter,right,Nemo,,,,,
sequence_library_default,0,ShowBackground,,Archivist,,,,,
sequence_library_default,1,ShowCharacter,left,Maid,,,,,
sequence_library_default,2,ShowCharacter,right,Nemo,,,,,
sequence_rian_default,0,ShowBackground,,BallRoom,,,,,
sequence_rian_default,1,ShowCharacter,left,Cousin02,,,,,
sequence_rian_default,2,ShowCharacter,right,Nemo,,,,,
sequence_rian_garden,0,ShowBackground,,Garden,,,,,
sequence_rian_garden,1,ShowCharacter,left,Cousin02,,,,,
sequence_rian_garden,2,ShowCharacter,right,Nemo,,,,,
sequence_rian_hallway,0,ShowBackground,,Hallway,,,,,
sequence_rian_hallway,1,ShowCharacter,left,Cousin02,,,,,
sequence_rian_hallway,2,ShowCharacter,right,Nemo,,,,,
sequence_rian_library,0,ShowBackground,,Study,,,,,
sequence_rian_library,1,ShowCharacter,left,Cousin02,,,,,
sequence_rian_library,2,ShowCharacter,right,Nemo,,,,,
sequence_max_default,0,ShowBackground,,DrawingRoom,,,,,
sequence_max_default,1,ShowCharacter,left,Friend01,,,,,
sequence_max_default,2,ShowCharacter,right,Nemo,,,,,
sequence_max_garden,0,ShowBackground,,Garden,,,,,
sequence_max_garden,1,ShowCharacter,left,Friend01,,,,,
sequence_max_garden,2,ShowCharacter,right,Nemo,,,,,
sequence_max_hallway,0,ShowBackground,,Hallway,,,,,
sequence_max_hallway,1,ShowCharacter,left,Friend01,,,,,
sequence_max_hallway,2,ShowCharacter,right,Nemo,,,,,
sequence_max_ballroom,0,ShowBackground,,BallRoom,,,,,
sequence_max_ballroom,1,ShowCharacter,left,Friend01,,,,,
sequence_max_ballroom,2,ShowCharacter,right,Nemo,,,,,
sequence_max_study,0,ShowBackground,,Study,,,,,
sequence_max_study,1,ShowCharacter,left,Friend01,,,,,
sequence_max_study,2,ShowCharacter,right,Nemo,,,,,
sequence_millia_drawingroom,0,ShowBackground,,DrawingRoom,,,,,
sequence_millia_drawingroom,1,ShowCharacter,left,Friend02,,,,,
sequence_millia_drawingroom,2,ShowCharacter,right,Nemo,,,,,
sequence_millia_hallway,0,ShowBackground,,Hallway,,,,,
sequence_millia_hallway,1,ShowCharacter,left,Friend02,,,,,
sequence_millia_hallway,2,ShowCharacter,right,Nemo,,,,,
sequence_yuffie_drawingroom,0,ShowBackground,,DrawingRoom,,,,,
sequence_yuffie_drawingroom,1,ShowCharacter,left,Friend03,,,,,
sequence_yuffie_drawingroom,2,ShowCharacter,right,Nemo,,,,,
sequence_yuffie_garden,0,ShowBackground,,Garden,,,,,
sequence_yuffie_garden,1,ShowCharacter,left,Friend03,,,,,
sequence_yuffie_garden,2,ShowCharacter,right,Nemo,,,,,
sequence_yuffie_hallway,0,ShowBackground,,Hallway,,,,,
sequence_yuffie_hallway,1,ShowCharacter,left,Friend03,,,,,
sequence_yuffie_hallway,2,ShowCharacter,right,Nemo,,,,,
sequence_night_default,0,ShowBackground,,BedRoom,,,,,
sequence_night_default,1,ShowCharacter,center,Nemo,,,,,
sequence_story_prologue,0,ShowBackground,,BedRoom,,,,,
sequence_story_prologue,1,ShowCharacter,left,GuardCaptain,,,,,
sequence_story_prologue,2,ShowCharacter,right,Nemo,,,,,
sequence_story_teaparty,0,ShowBackground,,Garden,,,,,
sequence_story_teaparty,1,ShowCharacter,left,Friend03,,,,,
sequence_story_teaparty,2,ShowCharacter,right,Nemo,,,,,
sequence_story_festival_street,0,ShowBackground,,FestivalStreet,,,,,
sequence_story_festival_street,1,ShowCharacter,left,Friend03,,,,,
sequence_story_festival_street,2,ShowCharacter,right,Nemo,,,,,
sequence_story_imperial_ball,0,ShowBackground,,ImperialBall,,,,,
sequence_story_imperial_ball,1,ShowCharacter,left,Friend01,,,,,
sequence_story_imperial_ball,2,ShowCharacter,right,Nemo,,,,,
sequence_story_eve_celebration,0,ShowBackground,,BallRoom,,,,,
sequence_story_eve_celebration,1,ShowCharacter,left,Cousin02,,,,,
sequence_story_eve_celebration,2,ShowCharacter,right,Nemo,,,,,
sequence_story_inheritance_ceremony,0,ShowBackground,,BallRoom,,,,,
sequence_story_inheritance_ceremony,1,ShowCharacter,left,Cousin02,,,,,
sequence_story_inheritance_ceremony,2,ShowCharacter,right,Nemo,,,,,
sequence_story_inheritance_alone,0,ShowBackground,,BallRoom,,,,,
sequence_story_inheritance_alone,1,ShowCharacter,left,None,,,,,
sequence_story_inheritance_alone,2,ShowCharacter,right,Nemo,,,,,
