rule_id,enabled,week_id,event_id,moment,sequence_id,special_player_id
cutscene_basement_0,true,week_001,event_week_001_excursion_basement_direct_default,EventEnter,sequence_basement_default,
cutscene_basement_1,true,week_001,event_week_001_excursion_basement_blocked,EventEnter,sequence_basement_default,
cutscene_basement_2,true,week_002,event_week_002_excursion_basement_direct_default,EventEnter,sequence_basement_default,
cutscene_basement_3,true,week_002,event_week_002_excursion_basement_direct_curious,EventEnter,sequence_basement_default,
cutscene_basement_4,true,week_002,event_week_002_excursion_basement_direct_cautious,EventEnter,sequence_basement_default,
cutscene_basement_5,true,week_002,event_week_002_excursion_basement_blocked,EventEnter,sequence_basement_default,
cutscene_basement_6,true,week_003,event_week_003_excursion_basement_direct_default,EventEnter,sequence_basement_default,
cutscene_basement_7,true,week_003,event_week_003_excursion_basement_direct_curious,EventEnter,sequence_basement_default,
cutscene_basement_8,true,week_003,event_week_003_excursion_basement_direct_anxious,EventEnter,sequence_basement_default,
cutscene_basement_9,true,week_003,event_week_003_excursion_basement_blocked,EventEnter,sequence_basement_default,
cutscene_basement_10,true,week_004,event_week_004_excursion_basement_direct_default,EventEnter,sequence_basement_default,
cutscene_basement_11,true,week_004,event_week_004_excursion_basement_direct_curious,EventEnter,sequence_basement_default,
cutscene_basement_12,true,week_004,event_week_004_excursion_basement_direct_cautious,EventEnter,sequence_basement_default,
cutscene_basement_13,true,week_004,event_week_004_excursion_basement_blocked,EventEnter,sequence_basement_default,
cutscene_basement_14,true,week_005,event_week_005_excursion_basement_direct_default,EventEnter,sequence_basement_default,
cutscene_basement_15,true,week_005,event_week_005_excursion_basement_direct_curious,EventEnter,sequence_basement_default,
cutscene_basement_16,true,week_005,event_week_005_excursion_basement_direct_anxious,EventEnter,sequence_basement_default,
cutscene_basement_17,true,week_005,event_week_005_excursion_basement_blocked,EventEnter,sequence_basement_default,
cutscene_basement_18,true,week_006,event_week_006_excursion_basement_direct_default,EventEnter,sequence_basement_default,
cutscene_basement_19,true,week_006,event_week_006_excursion_basement_direct_innocent,EventEnter,sequence_basement_default,
cutscene_basement_20,true,week_006,event_week_006_excursion_basement_direct_clever,EventEnter,sequence_basement_default,
cutscene_basement_21,true,week_006,event_week_006_excursion_basement_blocked,EventEnter,sequence_basement_default,
cutscene_basement_22,true,week_007,event_week_007_excursion_basement_direct_default,EventEnter,sequence_basement_default,
cutscene_basement_23,true,week_007,event_week_007_excursion_basement_direct_cautious,EventEnter,sequence_basement_default,
cutscene_basement_24,true,week_007,event_week_007_excursion_basement_direct_anxious,EventEnter,sequence_basement_default,
cutscene_basement_25,true,week_007,event_week_007_excursion_basement_blocked,EventEnter,sequence_basement_default,
cutscene_basement_27,true,week_008,event_week_008_excursion_basement_direct_default,EventEnter,sequence_basement_default,
cutscene_basement_28,true,week_008,event_week_008_excursion_basement_direct_innocent,EventEnter,sequence_basement_default,
cutscene_basement_29,true,week_008,event_week_008_excursion_basement_direct_cautious,EventEnter,sequence_basement_default,
cutscene_basement_30,true,week_008,event_week_008_excursion_basement_blocked,EventEnter,sequence_basement_default,
cutscene_basement_31,true,week_009,event_week_009_excursion_basement_direct_default,EventEnter,sequence_basement_default,
cutscene_basement_32,true,week_009,event_week_009_excursion_basement_direct_stable,EventEnter,sequence_basement_default,
cutscene_basement_33,true,week_009,event_week_009_excursion_basement_direct_anxious,EventEnter,sequence_basement_default,
cutscene_basement_34,true,week_009,event_week_009_excursion_basement_blocked,EventEnter,sequence_basement_default,
cutscene_library_0,true,week_001,event_week_001_excursion_library_direct_default,EventEnter,sequence_library_default,
cutscene_library_1,true,week_001,event_week_001_excursion_library_blocked,EventEnter,sequence_library_default,
cutscene_library_2,true,week_002,event_week_002_excursion_library_direct_default,EventEnter,sequence_library_default,
cutscene_library_3,true,week_002,event_week_002_excursion_library_direct_curious,EventEnter,sequence_library_default,
cutscene_library_4,true,week_002,event_week_002_excursion_library_direct_anxious,EventEnter,sequence_library_default,
cutscene_library_5,true,week_002,event_week_002_excursion_library_blocked,EventEnter,sequence_library_default,
cutscene_library_6,true,week_003,event_week_003_excursion_library_direct_default,EventEnter,sequence_library_default,
cutscene_library_7,true,week_003,event_week_003_excursion_library_direct_cautious,EventEnter,sequence_library_default,
cutscene_library_8,true,week_003,event_week_003_excursion_library_direct_innocent,EventEnter,sequence_library_default,
cutscene_library_9,true,week_003,event_week_003_excursion_library_blocked,EventEnter,sequence_library_default,
cutscene_library_10,true,week_004,event_week_004_excursion_library_direct_default,EventEnter,sequence_library_default,
cutscene_library_11,true,week_004,event_week_004_excursion_library_direct_clever,EventEnter,sequence_library_default,
cutscene_library_12,true,week_004,event_week_004_excursion_library_direct_curious,EventEnter,sequence_library_default,
cutscene_library_13,true,week_004,event_week_004_excursion_library_blocked,EventEnter,sequence_library_default,
cutscene_library_14,true,week_005,event_week_005_excursion_library_direct_default,EventEnter,sequence_library_default,
cutscene_library_15,true,week_005,event_week_005_excursion_library_direct_clever,EventEnter,sequence_library_default,
cutscene_library_16,true,week_005,event_week_005_excursion_library_direct_innocent,EventEnter,sequence_library_default,
cutscene_library_17,true,week_005,event_week_005_excursion_library_blocked,EventEnter,sequence_library_default,
cutscene_library_18,true,week_006,event_week_006_excursion_library_direct_default,EventEnter,sequence_library_default,
cutscene_library_19,true,week_006,event_week_006_excursion_library_direct_clever,EventEnter,sequence_library_default,
cutscene_library_20,true,week_006,event_week_006_excursion_library_direct_cautious,EventEnter,sequence_library_default,
cutscene_library_21,true,week_006,event_week_006_excursion_library_blocked,EventEnter,sequence_library_default,
cutscene_library_22,true,week_007,event_week_007_excursion_library_direct_default,EventEnter,sequence_library_default,
cutscene_library_23,true,week_007,event_week_007_excursion_library_direct_clever,EventEnter,sequence_library_default,
cutscene_library_24,true,week_007,event_week_007_excursion_library_direct_anxious,EventEnter,sequence_library_default,
