event_id,selector_stat,selector_mode,threshold,is_default
event_week_001_excursion_garden_direct_default,,default,,true
event_week_001_excursion_garden_blocked,,default,,true
event_week_002_excursion_garden_direct_default,,default,,true
event_week_002_excursion_garden_direct_curious,Curiosity,max_positive,0,false
event_week_002_excursion_garden_direct_innocent,Trust,max_positive,0,false
event_week_002_excursion_garden_blocked,,default,,true
event_week_003_excursion_garden_direct_default,,default,,true
event_week_003_excursion_garden_direct_curious,Curiosity,max_positive,0,false
event_week_003_excursion_garden_direct_cautious,Curiosity,max_negative,0,false
event_week_003_excursion_garden_blocked,,default,,true
event_week_004_excursion_garden_direct_default,,default,,true
event_week_004_excursion_garden_direct_clever,Trust,max_negative,0,false
event_week_004_excursion_garden_direct_innocent,Trust,max_positive,0,false
event_week_004_excursion_garden_blocked,,default,,true
event_week_005_excursion_garden_direct_default,,default,,true
event_week_005_excursion_garden_direct_cautious,Curiosity,max_negative,0,false
event_week_005_excursion_garden_direct_anxious,Anxiety,max_positive,0,false
event_week_005_excursion_garden_blocked,,default,,true
event_week_006_excursion_garden_direct_default,,default,,true
event_week_006_excursion_garden_direct_clever,Trust,max_negative,0,false
event_week_006_excursion_garden_direct_defiant,Obedience,max_negative,0,false
event_week_006_excursion_garden_blocked,,default,,true
event_week_007_excursion_garden_direct_default,,default,,true
event_week_007_excursion_garden_direct_stable,Anxiety,max_negative,0,false
event_week_007_excursion_garden_direct_cautious,Curiosity,max_negative,0,false
event_week_007_excursion_garden_blocked,,default,,true
event_week_008_excursion_garden_direct_default,,default,,true
event_week_008_excursion_garden_direct_curious,Curiosity,max_positive,0,false
event_week_008_excursion_garden_direct_anxious,Anxiety,max_positive,0,false
event_week_008_excursion_garden_blocked,,default,,true
event_week_009_excursion_garden_direct_default,,default,,true
event_week_009_excursion_garden_direct_stable,Anxiety,max_negative,0,false
event_week_009_excursion_garden_direct_cautious,Curiosity,max_negative,0,false
event_week_009_excursion_garden_blocked,,default,,true
event_week_001_excursion_basement_direct_default,,default,,true
event_week_001_excursion_basement_blocked,,default,,true
event_week_002_excursion_basement_direct_default,,default,,true
event_week_002_excursion_basement_direct_curious,Curiosity,max_positive,0,false
event_week_002_excursion_basement_direct_cautious,Curiosity,max_negative,0,false
event_week_002_excursion_basement_blocked,,default,,true
event_week_003_excursion_basement_direct_default,,default,,true
event_week_003_excursion_basement_direct_curious,Curiosity,max_positive,0,false
event_week_003_excursion_basement_direct_anxious,Anxiety,max_positive,0,false
event_week_003_excursion_basement_blocked,,default,,true
event_week_004_excursion_basement_direct_default,,default,,true
event_week_004_excursion_basement_direct_curious,Curiosity,max_positive,0,false
event_week_004_excursion_basement_direct_cautious,Curiosity,max_negative,0,false
event_week_004_excursion_basement_blocked,,default,,true
event_week_005_excursion_basement_direct_default,,default,,true
event_week_005_excursion_basement_direct_curious,Curiosity,max_positive,0,false
event_week_005_excursion_basement_direct_anxious,Anxiety,max_positive,0,false
event_week_005_excursion_basement_blocked,,default,,true
event_week_006_excursion_basement_direct_default,,default,,true
event_week_006_excursion_basement_direct_innocent,Trust,max_positive,0,false
event_week_006_excursion_basement_direct_clever,Trust,max_negative,0,false
event_week_006_excursion_basement_blocked,,default,,true
event_week_007_excursion_basement_direct_default,,default,,true
event_week_007_excursion_basement_direct_cautious,Curiosity,max_negative,0,false
event_week_007_excursion_basement_direct_anxious,Anxiety,max_positive,0,false
event_week_007_excursion_basement_blocked,,default,,true
event_week_008_excursion_basement_direct_default,,default,,true
event_week_008_excursion_basement_direct_innocent,Trust,max_positive,0,false
event_week_008_excursion_basement_direct_cautious,Curiosity,max_negative,0,false
event_week_008_excursion_basement_blocked,,default,,true
event_week_009_excursion_basement_direct_default,,default,,true
event_week_009_excursion_basement_direct_stable,Anxiety,max_negative,0,false
event_week_009_excursion_basement_direct_anxious,Anxiety,max_positive,0,false
event_week_009_excursion_basement_blocked,,default,,true
event_week_001_excursion_forest_direct_default,,default,,true
event_week_001_excursion_forest_blocked,,default,,true
event_week_002_excursion_forest_direct_default,,default,,true
event_week_002_excursion_forest_direct_curious,Curiosity,max_positive,0,false
event_week_002_excursion_forest_direct_compliant,Obedience,max_positive,0,false
event_week_002_excursion_forest_blocked,,default,,true
