event_id,stat_type,use_minimum,minimum_value,use_maximum,maximum_value
event_week_002_rian_0,Rian,true,0,true,0
event_week_002_rian_1,Rian,true,1,true,1
event_week_003_rian_0,Rian,true,0,true,0
event_week_003_rian_1,Rian,true,1,true,2
event_week_004_rian_0,Rian,true,0,true,0
event_week_004_rian_1,Rian,true,1,true,2
event_week_004_rian_2,Rian,true,3,true,3
event_week_005_rian_0,Rian,true,0,true,0
event_week_005_rian_1,Rian,true,1,true,2
event_week_005_rian_2,Rian,true,3,true,4
event_week_006_rian_0,Rian,true,0,true,0
event_week_006_rian_1,Rian,true,1,true,2
event_week_006_rian_2,Rian,true,3,true,4
event_week_006_rian_3,Rian,true,5,true,5
event_week_007_rian_0,Rian,true,0,true,0
event_week_007_rian_1,Rian,true,1,true,1
event_week_007_rian_2,Rian,true,2,true,3
event_week_007_rian_3,Rian,true,4,true,4
event_week_007_rian_4,Rian,true,5,true,6
event_week_008_rian_0,Rian,true,0,true,0
event_week_008_rian_1,Rian,true,1,true,1
event_week_008_rian_2,Rian,true,2,true,3
event_week_008_rian_3,Rian,true,4,true,5
event_week_008_rian_4,Rian,true,6,true,7
event_week_009_rian_0,Rian,true,0,true,0
event_week_009_rian_1,Rian,true,1,true,1
event_week_009_rian_2,Rian,true,2,true,3
event_week_009_rian_3,Rian,true,4,true,6
event_week_009_rian_4,Rian,true,7,true,8
event_week_002_millia_0,Millia,true,0,true,0
event_week_002_millia_1,Millia,true,1,true,1
event_week_003_millia_0,Millia,true,0,true,0
event_week_003_millia_1,Millia,true,1,true,1
event_week_003_millia_2,Millia,true,2,true,2
event_week_004_millia_0,Millia,true,0,true,0
event_week_004_millia_1,Millia,true,1,true,1
event_week_004_millia_2,Millia,true,2,true,3
event_week_005_millia_0,Millia,true,0,true,0
event_week_005_millia_1,Millia,true,1,true,2
event_week_005_millia_3,Millia,true,3,true,4
event_week_006_millia_0,Millia,true,0,true,0
event_week_006_millia_1,Millia,true,1,true,2
event_week_006_millia_3,Millia,true,3,true,5
event_week_007_millia_0,Millia,true,0,true,0
event_week_007_millia_1,Millia,true,1,true,2
event_week_007_millia_2,Millia,true,3,true,4
event_week_007_millia_4,Millia,true,5,true,6
event_week_008_millia_0,Millia,true,0,true,0
event_week_008_millia_1,Millia,true,1,true,3
event_week_008_millia_3,Millia,true,4,true,7
event_week_009_millia_0,Millia,true,0,true,0
event_week_009_millia_1,Millia,true,1,true,2
event_week_009_millia_2,Millia,true,3,true,4
event_week_009_millia_3,Millia,true,5,true,6
event_week_009_millia_4,Millia,true,7,true,8
event_week_002_yuffie_0,Yuffie,true,0,true,0
event_week_002_yuffie_1,Yuffie,true,1,true,1
event_week_003_yuffie_0,Yuffie,true,0,true,0
event_week_003_yuffie_1,Yuffie,true,1,true,1
event_week_003_yuffie_2,Yuffie,true,2,true,2
event_week_004_yuffie_0,Yuffie,true,0,true,0
event_week_004_yuffie_1,Yuffie,true,1,true,1
event_week_004_yuffie_2,Yuffie,true,2,true,3
event_week_005_yuffie_0,Yuffie,true,0,true,0
event_week_005_yuffie_2,Yuffie,true,1,true,2
event_week_005_yuffie_3,Yuffie,true,3,true,4
event_week_006_yuffie_0,Yuffie,true,0,true,0
event_week_006_yuffie_2,Yuffie,true,1,true,5
event_week_007_yuffie_0,Yuffie,true,0,true,0
event_week_007_yuffie_1,Yuffie,true,1,true,2
event_week_007_yuffie_2,Yuffie,true,3,true,4
event_week_007_yuffie_4,Yuffie,true,5,true,6
event_week_008_yuffie_0,Yuffie,true,0,true,0
event_week_008_yuffie_1,Yuffie,true,1,true,2
event_week_008_yuffie_2,Yuffie,true,3,true,5
event_week_008_yuffie_4,Yuffie,true,6,true,7
event_week_009_yuffie_0,Yuffie,true,0,true,0
event_week_009_yuffie_1,Yuffie,true,1,true,2
event_week_009_yuffie_2,Yuffie,true,3,true,4
event_week_009_yuffie_3,Yuffie,true,5,true,6
event_week_009_yuffie_4,Yuffie,true,7,true,8
story_inheritance_alone,Rian,false,,true,0
story_inheritance_alone,Max,false,,true,0
story_inheritance_alone,Millia,false,,true,0
story_inheritance_alone,Yuffie,false,,true,0
