event_id,step_id,title_override,body_text,use_custom_visual_state,visual_state,on_enter_interaction_ids,default_next_step_id,condition_stat_1,condition_min_1,condition_max_1,condition_stat_2,condition_min_2,condition_max_2,conditional_next_step_id,conditional_fallback_step_id
event_week_001_excursion_garden_direct_default,step_event_week_001_excursion_garden_direct_default,정원 허가,,false,Neutral,,,,,,,,,,
event_week_001_excursion_garden_blocked,step_event_week_001_excursion_garden_blocked,,,false,Neutral,,,,,,,,,,
event_week_002_excursion_garden_direct_default,step_event_week_002_excursion_garden_direct_default,정원 허가,,false,Neutral,,,,,,,,,,
event_week_002_excursion_garden_direct_curious,step_event_week_002_excursion_garden_direct_curious,정원 허가-호기심,,false,Neutral,,,,,,,,,,
event_week_002_excursion_garden_direct_innocent,step_event_week_002_excursion_garden_direct_innocent,정원 허가-순진,,false,Neutral,,,,,,,,,,
event_week_002_excursion_garden_blocked,step_event_week_002_excursion_garden_blocked,,,false,Neutral,,,,,,,,,,
event_week_003_excursion_garden_direct_default,step_event_week_003_excursion_garden_direct_default,정원 허가,,false,Neutral,,,,,,,,,,
event_week_003_excursion_garden_direct_curious,step_event_week_003_excursion_garden_direct_curious,정원 허가-호기심,,false,Neutral,,,,,,,,,,
event_week_003_excursion_garden_direct_cautious,step_event_week_003_excursion_garden_direct_cautious,정원 허가-신중,,false,Neutral,,,,,,,,,,
event_week_003_excursion_garden_blocked,step_event_week_003_excursion_garden_blocked,,,false,Neutral,,,,,,,,,,
event_week_004_excursion_garden_direct_default,step_event_week_004_excursion_garden_direct_default,정원 허가,,false,Neutral,,,,,,,,,,
event_week_004_excursion_garden_direct_clever,step_event_week_004_excursion_garden_direct_clever,정원 허가-영민,,false,Neutral,,,,,,,,,,
event_week_004_excursion_garden_direct_innocent,step_event_week_004_excursion_garden_direct_innocent,정원 허가-순진,,false,Neutral,,,,,,,,,,
event_week_004_excursion_garden_blocked,step_event_week_004_excursion_garden_blocked,,,false,Neutral,,,,,,,,,,
event_week_005_excursion_garden_direct_default,step_event_week_005_excursion_garden_direct_default,정원 허가,,false,Neutral,,,,,,,,,,
event_week_005_excursion_garden_direct_cautious,step_event_week_005_excursion_garden_direct_cautious,정원 허가-신중,,false,Neutral,,,,,,,,,,
event_week_005_excursion_garden_direct_anxious,step_event_week_005_excursion_garden_direct_anxious,정원 허가-불안,,false,Neutral,,,,,,,,,,
event_week_005_excursion_garden_blocked,step_event_week_005_excursion_garden_blocked,,,false,Neutral,,,,,,,,,,
event_week_006_excursion_garden_direct_default,step_event_week_006_excursion_garden_direct_default,정원 허가,,false,Neutral,,,,,,,,,,
event_week_006_excursion_garden_direct_clever,step_event_week_006_excursion_garden_direct_clever,정원 허가-영민,,false,Neutral,,,,,,,,,,
event_week_006_excursion_garden_direct_defiant,step_event_week_006_excursion_garden_direct_defiant,정원 허가-반항,,false,Neutral,,,,,,,,,,
event_week_006_excursion_garden_blocked,step_event_week_006_excursion_garden_blocked,,,false,Neutral,,,,,,,,,,
event_week_007_excursion_garden_direct_default,step_event_week_007_excursion_garden_direct_default,정원 허가,,false,Neutral,,,,,,,,,,
event_week_007_excursion_garden_direct_stable,step_event_week_007_excursion_garden_direct_stable,정원 허가-안정,,false,Neutral,,,,,,,,,,
event_week_007_excursion_garden_direct_cautious,step_event_week_007_excursion_garden_direct_cautious,정원 허가-신중,,false,Neutral,,,,,,,,,,
event_week_007_excursion_garden_blocked,step_event_week_007_excursion_garden_blocked,,,false,Neutral,,,,,,,,,,
event_week_008_excursion_garden_direct_default,step_event_week_008_excursion_garden_direct_default,정원 허가,,false,Neutral,,,,,,,,,,
event_week_008_excursion_garden_direct_curious,step_event_week_008_excursion_garden_direct_curious,정원 허가-호기심,,false,Neutral,,,,,,,,,,
event_week_008_excursion_garden_direct_anxious,step_event_week_008_excursion_garden_direct_anxious,정원 허가-불안,,false,Neutral,,,,,,,,,,
event_week_008_excursion_garden_blocked,step_event_week_008_excursion_garden_blocked,,,false,Neutral,,,,,,,,,,
event_week_009_excursion_garden_direct_default,step_event_week_009_excursion_garden_direct_default,정원 허가,,false,Neutral,,,,,,,,,,
event_week_009_excursion_garden_direct_stable,step_event_week_009_excursion_garden_direct_stable,정원 허가-안정,,false,Neutral,,,,,,,,,,
event_week_009_excursion_garden_direct_cautious,step_event_week_009_excursion_garden_direct_cautious,정원 허가-신중,,false,Neutral,,,,,,,,,,
event_week_009_excursion_garden_blocked,step_event_week_009_excursion_garden_blocked,,,false,Neutral,,,,,,,,,,
event_week_001_excursion_basement_direct_default,step_event_week_001_excursion_basement_direct_default,,,false,Neutral,,,,,,,,,,
event_week_001_excursion_basement_blocked,step_event_week_001_excursion_basement_blocked,,,false,Neutral,,,,,,,,,,
event_week_002_excursion_basement_direct_default,step_event_week_002_excursion_basement_direct_default,,,false,Neutral,,,,,,,,,,
event_week_002_excursion_basement_direct_curious,step_event_week_002_excursion_basement_direct_curious,,,false,Neutral,,,,,,,,,,
event_week_002_excursion_basement_direct_cautious,step_event_week_002_excursion_basement_direct_cautious,,,false,Neutral,,,,,,,,,,
event_week_002_excursion_basement_blocked,step_event_week_002_excursion_basement_blocked,,,false,Neutral,,,,,,,,,,
event_week_003_excursion_basement_direct_default,step_event_week_003_excursion_basement_direct_default,,,false,Neutral,,,,,,,,,,
event_week_003_excursion_basement_direct_curious,step_event_week_003_excursion_basement_direct_curious,,,false,Neutral,,,,,,,,,,
event_week_003_excursion_basement_direct_anxious,step_event_week_003_excursion_basement_direct_anxious,,,false,Neutral,,,,,,,,,,
event_week_003_excursion_basement_blocked,step_event_week_003_excursion_basement_blocked,,,false,Neutral,,,,,,,,,,
event_week_004_excursion_basement_direct_default,step_event_week_004_excursion_basement_direct_default,,,false,Neutral,,,,,,,,,,
event_week_004_excursion_basement_direct_curious,step_event_week_004_excursion_basement_direct_curious,,,false,Neutral,,,,,,,,,,
event_week_004_excursion_basement_direct_cautious,step_event_week_004_excursion_basement_direct_cautious,,,false,Neutral,,,,,,,,,,
event_week_004_excursion_basement_blocked,step_event_week_004_excursion_basement_blocked,,,false,Neutral,,,,,,,,,,
event_week_005_excursion_basement_direct_default,step_event_week_005_excursion_basement_direct_default,,,false,Neutral,,,,,,,,,,
event_week_005_excursion_basement_direct_curious,step_event_week_005_excursion_basement_direct_curious,,,false,Neutral,,,,,,,,,,
event_week_005_excursion_basement_direct_anxious,step_event_week_005_excursion_basement_direct_anxious,,,false,Neutral,,,,,,,,,,
event_week_005_excursion_basement_blocked,step_event_week_005_excursion_basement_blocked,,,false,Neutral,,,,,,,,,,
event_week_006_excursion_basement_direct_default,step_event_week_006_excursion_basement_direct_default,,,false,Neutral,,,,,,,,,,
event_week_006_excursion_basement_direct_innocent,step_event_week_006_excursion_basement_direct_innocent,,,false,Neutral,,,,,,,,,,
event_week_006_excursion_basement_direct_clever,step_event_week_006_excursion_basement_direct_clever,,,false,Neutral,,,,,,,,,,
event_week_006_excursion_basement_blocked,step_event_week_006_excursion_basement_blocked,,,false,Neutral,,,,,,,,,,
event_week_007_excursion_basement_direct_default,step_event_week_007_excursion_basement_direct_default,,,false,Neutral,,,,,,,,,,
event_week_007_excursion_basement_direct_cautious,step_event_week_007_excursion_basement_direct_cautious,,,false,Neutral,,,,,,,,,,
event_week_007_excursion_basement_direct_anxious,step_event_week_007_excursion_basement_direct_anxious,,,false,Neutral,,,,,,,,,,
event_week_007_excursion_basement_blocked,step_event_week_007_excursion_basement_blocked,,,false,Neutral,,,,,,,,,,
event_week_008_excursion_basement_direct_default,step_event_week_008_excursion_basement_direct_default,,,false,Neutral,,,,,,,,,,
event_week_008_excursion_basement_direct_innocent,step_event_week_008_excursion_basement_direct_innocent,,,false,Neutral,,,,,,,,,,
event_week_008_excursion_basement_direct_cautious,step_event_week_008_excursion_basement_direct_cautious,,,false,Neutral,,,,,,,,,,
event_week_008_excursion_basement_blocked,step_event_week_008_excursion_basement_blocked,,,false,Neutral,,,,,,,,,,
event_week_009_excursion_basement_direct_default,step_event_week_009_excursion_basement_direct_default,,,false,Neutral,,,,,,,,,,
event_week_009_excursion_basement_direct_stable,step_event_week_009_excursion_basement_direct_stable,,,false,Neutral,,,,,,,,,,
event_week_009_excursion_basement_direct_anxious,step_event_week_009_excursion_basement_direct_anxious,,,false,Neutral,,,,,,,,,,
event_week_009_excursion_basement_blocked,step_event_week_009_excursion_basement_blocked,,,false,Neutral,,,,,,,,,,
event_week_001_excursion_forest_direct_default,step_event_week_001_excursion_forest_direct_default,,,false,Neutral,,,,,,,,,,
