event_id,week_id,event_kind,event_order,title,priority,first_step_id,on_completed_interaction_ids,related_information_type_ids,preferred_semantics,linked_card_id
event_week_001_excursion_garden_direct_default,week_001,routine,0,정원 허가,10,step_event_week_001_excursion_garden_direct_default,anxious_plus_1,card_type_excursion,Direct,card_excursion_garden_week_001
event_week_001_excursion_garden_blocked,week_001,routine,1,정원 통제,10,step_event_week_001_excursion_garden_blocked,compliant_plus_1,card_type_excursion,Blocked,card_excursion_garden_week_001
event_week_002_excursion_garden_direct_default,week_002,routine,0,정원 허가,10,step_event_week_002_excursion_garden_direct_default,clever_plus_1,card_type_excursion,Direct,card_excursion_garden_week_002
event_week_002_excursion_garden_direct_curious,week_002,routine,1,정원 허가-호기심,30,step_event_week_002_excursion_garden_direct_curious,clever_plus_1|curious_plus_1,card_type_excursion,Direct,card_excursion_garden_week_002
event_week_002_excursion_garden_direct_innocent,week_002,routine,2,정원 허가-불안,20,step_event_week_002_excursion_garden_direct_innocent,anxious_plus_1,card_type_excursion,Direct,card_excursion_garden_week_002
event_week_002_excursion_garden_blocked,week_002,routine,3,정원 통제,10,step_event_week_002_excursion_garden_blocked,compliant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_garden_week_002
event_week_003_excursion_garden_direct_default,week_003,routine,0,정원 허가,10,step_event_week_003_excursion_garden_direct_default,stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_003
event_week_003_excursion_garden_direct_curious,week_003,routine,1,정원 허가-신중,30,step_event_week_003_excursion_garden_direct_curious,cautious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_003
event_week_003_excursion_garden_direct_cautious,week_003,routine,2,정원 허가-순진,20,step_event_week_003_excursion_garden_direct_cautious,innocent_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_003
event_week_003_excursion_garden_blocked,week_003,routine,3,정원 통제,10,step_event_week_003_excursion_garden_blocked,compliant_plus_1,card_type_excursion,Blocked,card_excursion_garden_week_003
event_week_004_excursion_garden_direct_default,week_004,routine,0,정원 허가,10,step_event_week_004_excursion_garden_direct_default,curious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_004
event_week_004_excursion_garden_direct_clever,week_004,routine,1,정원 허가-영민,30,step_event_week_004_excursion_garden_direct_clever,innocent_plus_1|curious_plus_1,card_type_excursion,Direct,card_excursion_garden_week_004
event_week_004_excursion_garden_direct_innocent,week_004,routine,2,정원 허가-호기심,20,step_event_week_004_excursion_garden_direct_innocent,innocent_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_004
event_week_004_excursion_garden_blocked,week_004,routine,3,정원 통제,10,step_event_week_004_excursion_garden_blocked,anxious_plus_1,card_type_excursion,Blocked,card_excursion_garden_week_004
event_week_005_excursion_garden_direct_default,week_005,routine,0,정원 허가,10,step_event_week_005_excursion_garden_direct_default,cautious_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_005
event_week_005_excursion_garden_direct_cautious,week_005,routine,1,정원 허가-신중,30,step_event_week_005_excursion_garden_direct_cautious,clever_plus_1|cautious_plus_1,card_type_excursion,Direct,card_excursion_garden_week_005
event_week_005_excursion_garden_direct_anxious,week_005,routine,2,정원 허가-불안,20,step_event_week_005_excursion_garden_direct_anxious,cautious_plus_1|anxious_plus_1,card_type_excursion,Direct,card_excursion_garden_week_005
event_week_005_excursion_garden_blocked,week_005,routine,3,정원 통제,10,step_event_week_005_excursion_garden_blocked,defiant_plus_1|anxious_plus_1,card_type_excursion,Blocked,card_excursion_garden_week_005
event_week_006_excursion_garden_direct_default,week_006,routine,0,정원 허가,10,step_event_week_006_excursion_garden_direct_default,compliant_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_006
event_week_006_excursion_garden_direct_clever,week_006,routine,1,정원 허가-영민,30,step_event_week_006_excursion_garden_direct_clever,clever_plus_1|stable_plus_1,card_type_excursion,Direct,card_excursion_garden_week_006
event_week_006_excursion_garden_direct_defiant,week_006,routine,2,정원 허가-반항,20,step_event_week_006_excursion_garden_direct_defiant,clever_plus_1|defiant_plus_1,card_type_excursion,Direct,card_excursion_garden_week_006
event_week_006_excursion_garden_blocked,week_006,routine,3,정원 통제,10,step_event_week_006_excursion_garden_blocked,anxious_plus_1,card_type_excursion,Blocked,card_excursion_garden_week_006
