interaction_id,kind,display_name,stat_type,amount,flag_id,condition_stat,min_value,target_stat,reaction_text,child_interaction_ids
innocent_plus_1,stat_delta,순진+1,Trust,1,,,,,,
clever_plus_1,stat_delta,영민+1,Trust,-1,,,,,,
curious_plus_1,stat_delta,호기심+1,Curiosity,1,,,,,,
cautious_plus_1,stat_delta,신중+1,Curiosity,-1,,,,,,
compliant_plus_1,stat_delta,순응+1,Obedience,1,,,,,,
defiant_plus_1,stat_delta,반항+1,Obedience,-1,,,,,,
stable_plus_1,stat_delta,안정+1,Anxiety,-1,,,,,,
anxious_plus_1,stat_delta,불안+1,Anxiety,1,,,,,,
affinity_plus_1,stat_delta,친밀도+1,Affinity,1,,,,,,
affinity_minus_1,stat_delta,친밀도-1,Affinity,-1,,,,,,
rian_plus_1,stat_delta,해당 항목은 토스트에 표기 안됨,Rian,1,,,,,,
max_plus_1,stat_delta,해당 항목은 토스트에 표기 안됨,Max,1,,,,,,
millia_plus_1,stat_delta,해당 항목은 토스트에 표기 안됨,Millia,1,,,,,,
yuffie_plus_1,stat_delta,해당 항목은 토스트에 표기 안됨,Yuffie,1,,,,,,
