speaker_id,display_name,default_visual_state
speaker_abelia,아벨리아,Neutral
speaker_gardener,에단(정원사),Neutral
speaker_gardener_1,버질(정원사),Neutral
speaker_gardener_2,단테(정원사),Neutral
speaker_guard_captain,경비대장,Neutral
speaker_warehouse_keeper,창고지기,Neutral
speaker_butler,집사장,Neutral
speaker_librarian,서고관리인,Neutral
speaker_secretary,비서,Neutral
speaker_maid,마리(하녀),Neutral
speaker_maid_1,엘린(하녀),Neutral
speaker_maid_2,메이(하녀),Neutral
speaker_worker_1,토마스(사용인),Neutral
speaker_worker_2,휴고(사용인),Neutral
speaker_rian,리안,Neutral
speaker_max,막스,Neutral
speaker_millia,밀리아,Neutral
speaker_yuffie,유피,Neutral
speaker_count,백작,Neutral
speaker_narrator,(지문),Neutral
speaker_npc,황실 대리인,Neutral
speaker_hunter,사냥지기,Neutral
speaker_servant,하인,Neutral
speaker_npc2,사람,Neutral
